time,open,high,low,close,Volume
2019-01-02T10:00:00-02:00,5.9125,5.9375,5.9125,5.93,7600
2019-01-02T10:30:00-02:00,5.93,5.97,5.92,5.9525,46800
2019-01-02T11:00:00-02:00,5.9575,5.9925,5.94,5.98,52800
2019-01-02T11:30:00-02:00,5.9875,6005,5.9825,5.99,57200
2019-01-02T12:00:00-02:00,5995,6035,5.99,6.0175,60400
2019-01-02T12:30:00-02:00,0,6.0975,6.0175,6085,118400
2019-01-02T13:00:00-02:00,6.09,6.1425,6.0825,6.1425,65600
2019-01-02T13:30:00-02:00,6.1425,6.1575,6.0875,6135,86000
2019-01-02T14:00:00-02:00,6.1425,6.1875,6.1375,6.1625,83200
2019-01-02T14:30:00-02:00,6.1675,0.0,6.15,6.17,95200
2019-01-02T15:00:00-02:00,6.1625,6.17,6.1425,6.17,80400
2019-01-02T15:30:00-02:00,6.1675,6.1725,6.15,6.1625,148000
2019-01-02T16:00:00-02:00,6.16,6.1725,6.15,6.1675,65600
