time,open,high,low,close,Volume,Volume MA
2020-11-25T10:00:00-03:00,19855,19.9975,19.8,19835,1427600,616260
2020-11-25T10:30:00-03:00,19.84,19.9375,19.8125,19845,430000,608480
2020-11-25T11:00:00-03:00,19.83,19.9275,19.8225,19.9075,130000,578580
2020-11-25T11:30:00-03:00,19915,19955,19.7375,19.8325,830800,588820
2020-11-25T12:00:00-03:00,19.8325,19.9475,19.7775,19.8425,420800,572060
2020-11-25T12:30:00-03:00,19.84,19.8525,19.7325,19.76,542800,575820
2020-11-25T13:00:00-03:00,19.76,19.8275,19.7325,19.7875,420800,581240
2020-11-25T13:30:00-03:00,19.7875,19.8725,19.7775,19.8525,634800,581320
2020-11-25T14:00:00-03:00,19.8525,19.91,19.85,19.8875,356400,567240
2020-11-25T14:30:00-03:00,19.89,19985,19.8775,19985,593200,577120
2020-11-25T15:00:00-03:00,19985,20.3,19.98,20255,1169200,602720
2020-11-25T15:30:00-03:00,20.25,20335,20.1775,20.2425,706400,611960
2020-11-25T16:00:00-03:00,20.24,20.25,20115,20.1725,602400,615840
2020-11-25T16:30:00-03:00,20.17,20.1775,20.1125,20.1475,571600,620080
2020-11-25T17:00:00-03:00,20145,20.1575,20.0775,20125,813200,628880
2020-11-25T17:30:00-03:00,20125,20.2625,20.09,20.14,1213200,657680
2020-11-26T10:00:00-03:00,20195,20195,19.9975,20.05,437600,651880
2020-11-26T10:30:00-03:00,20055,20.0875,19.9225,19925,296800,633240
2020-11-26T11:00:00-03:00,19945,19945,19.88,19.9325,332400,626200
2020-11-26T11:30:00-03:00,19.9325,19.9475,19.8625,19865,247200,608860
2020-11-26T12:00:00-03:00,19.8625,19925,19.8375,19.9125,230000,548980
2020-11-26T12:30:00-03:00,19.92,19925,19.8775,19.92,115600,533260
2020-11-26T13:00:00-03:00,19925,19.94,19.8825,19.89,157200,534620
2020-11-26T13:30:00-03:00,19895,19.9825,19.89,19925,188000,502480
2020-11-26T14:00:00-03:00,19925,19935,19.8875,19.91,142400,488560
2020-11-26T14:30:00-03:00,19.9125,19.9475,19875,19.9175,150800,468960
2020-11-26T15:00:00-03:00,19.9125,20.03,19.89,20005,280800,461960
2020-11-26T15:30:00-03:00,20,20105,20,20085,159600,438200
2020-11-26T16:00:00-03:00,20.0825,20.1575,20045,20145,212400,431000
2020-11-26T16:30:00-03:00,20145,20.25,20145,20205,395200,421100
2020-11-26T17:00:00-03:00,20.1975,20.25,20195,20215,333200,379300
2020-11-26T17:30:00-03:00,20.21,20.2325,20165,20.2175,255200,356740
2020-11-27T10:00:00-03:00,20365,20.45,20.1875,20.35,1388000,396020
2020-11-27T10:30:00-03:00,20.35,20.5675,20.2775,20.51,385600,386720
2020-11-27T11:00:00-03:00,20.51,20.53,20.39,20.41,353600,363740
2020-11-27T11:30:00-03:00,20.4075,20.48,20.2925,20.3775,300400,318100
2020-11-27T12:00:00-03:00,20395,20.5125,20.39,20475,240800,308260
2020-11-27T12:30:00-03:00,20.48,20.62,20.45,20.5975,442800,315560
2020-11-27T13:00:00-03:00,20.6,20.61,20.3925,20.41,336400,315760
2020-11-27T13:30:00-03:00,20.4175,20.5325,20.3675,20.3875,451600,325980
2020-11-27T14:00:00-03:00,20.39,20.4125,20.2925,20.31,400000,334480
2020-11-27T14:30:00-03:00,20295,20.3425,20.2525,20305,206400,339020
2020-11-27T15:00:00-03:00,20.3,20.32,20.2,20.3025,216000,341960
2020-11-27T15:30:00-03:00,20305,20305,20.25,20.27,150800,340100
2020-11-27T16:00:00-03:00,20.2625,20275,20.17,20.22,196400,342800
2020-11-27T16:30:00-03:00,20.2075,20265,20.1725,20.2075,224800,346500
2020-11-27T17:00:00-03:00,20.21,20.2575,20.1525,20.1825,254800,345200
2020-11-27T17:30:00-03:00,20175,20.2075,20.11,20175,310000,352720
2020-11-30T10:00:00-03:00,20125,20125,19.5575,19.7675,2457600,464980
2020-11-30T10:30:00-03:00,19.7625,19825,19.6275,19675,874400,488940
2020-11-30T11:00:00-03:00,19.6725,19865,19.6725,19785,508000,497680
2020-11-30T11:30:00-03:00,19.7875,20.0575,19785,20.0275,741600,522000
2020-11-30T12:00:00-03:00,20035,20.1475,19805,19805,500800,477640
2020-11-30T12:30:00-03:00,19.8075,19.9025,19.7625,19.8075,440400,480380
2020-11-30T13:00:00-03:00,19795,19.91,19.7675,19.8375,273200,476360
2020-11-30T13:30:00-03:00,19835,19.9225,19.82,19.8425,369200,479800
