indexx,time,close
0,2019-01-02T10:00:00-02:00,5.93
1,2019-01-02T10:30:00-02:00,5.9525
2,2019-01-02T11:00:00-02:00,5.98
3,2019-01-02T11:30:00-02:00,5.99
4,2019-01-02T12:00:00-02:00,6.0175
5,2019-01-02T12:30:00-02:00,6085
6,2019-01-02T13:00:00-02:00,6.1425
7,2019-01-02T13:30:00-02:00,6135
8,2019-01-02T14:00:00-02:00,6.1625
9,2019-01-02T14:30:00-02:00,6.17
10,2019-01-02T15:00:00-02:00,6.17
11,2019-01-02T15:30:00-02:00,6.1625
12,2019-01-02T16:00:00-02:00,6.1675
13,2019-01-02T16:30:00-02:00,6.16
14,2019-01-02T17:00:00-02:00,6.17
15,2019-01-02T17:30:00-02:00,6225
16,2019-01-03T10:00:00-02:00,6.1225
17,2019-01-03T10:30:00-02:00,6.2575
18,2019-01-03T11:00:00-02:00,6365
19,2019-01-03T11:30:00-02:00,6.37
20,2019-01-03T12:00:00-02:00,6.4325
21,2019-01-03T12:30:00-02:00,6.3925
22,2019-01-03T13:00:00-02:00,6.4125
23,2019-01-03T13:30:00-02:00,6.4
24,2019-01-03T14:00:00-02:00,6.4125
25,2019-01-03T14:30:00-02:00,6435
26,2019-01-03T15:00:00-02:00,6.45
27,2019-01-03T15:30:00-02:00,6435
28,2019-01-03T16:00:00-02:00,6425
29,2019-01-03T16:30:00-02:00,6.45
30,2019-01-03T17:00:00-02:00,6455
31,2019-01-03T17:30:00-02:00,6.46
32,2019-01-04T10:00:00-02:00,6.49
33,2019-01-04T10:30:00-02:00,6.4825
34,2019-01-04T11:00:00-02:00,6.5125
35,2019-01-04T11:30:00-02:00,6.5775
36,2019-01-04T12:00:00-02:00,6.5575
37,2019-01-04T12:30:00-02:00,6585
38,2019-01-04T13:00:00-02:00,6.6475
39,2019-01-04T13:30:00-02:00,6.6925
40,2019-01-04T14:00:00-02:00,6645
41,2019-01-04T14:30:00-02:00,6.6775
42,2019-01-04T15:00:00-02:00,6.6725
43,2019-01-04T15:30:00-02:00,6.6875
44,2019-01-04T16:00:00-02:00,6.6825
45,2019-01-04T16:30:00-02:00,6705
46,2019-01-04T17:00:00-02:00,6.7025
47,2019-01-04T17:30:00-02:00,6.7075
48,2019-01-07T10:00:00-02:00,6.7475
49,2019-01-07T10:30:00-02:00,6.7175
50,2019-01-07T11:00:00-02:00,6.7225
51,2019-01-07T11:30:00-02:00,6775
52,2019-01-07T12:00:00-02:00,6885
53,2019-01-07T12:30:00-02:00,6.8475
54,2019-01-07T13:00:00-02:00,6.93
55,2019-01-07T13:30:00-02:00,6.92
56,2019-01-07T14:00:00-02:00,6.8875
57,2019-01-07T14:30:00-02:00,6875
58,2019-01-07T15:00:00-02:00,6.87
59,2019-01-07T15:30:00-02:00,6.8475
60,2019-01-07T16:00:00-02:00,6.8475
61,2019-01-07T16:30:00-02:00,6.8525
62,2019-01-07T17:00:00-02:00,6.8425
63,2019-01-07T17:30:00-02:00,6.85
64,2019-01-08T10:00:00-02:00,6695
65,2019-01-08T10:30:00-02:00,6.67
66,2019-01-08T11:00:00-02:00,6.59
67,2019-01-08T11:30:00-02:00,6535
68,2019-01-08T12:00:00-02:00,6.53
69,2019-01-08T12:30:00-02:00,6.4175
70,2019-01-08T13:00:00-02:00,6.47
71,2019-01-08T13:30:00-02:00,6455
72,2019-01-08T14:00:00-02:00,6.4525
73,2019-01-08T14:30:00-02:00,6.44
74,2019-01-08T15:00:00-02:00,6.4525
75,2019-01-08T15:30:00-02:00,6.4475
76,2019-01-08T16:00:00-02:00,6.45
77,2019-01-08T16:30:00-02:00,6.4475
78,2019-01-08T17:00:00-02:00,6445
79,2019-01-08T17:30:00-02:00,6.4575
80,2019-01-09T10:00:00-02:00,6525
81,2019-01-09T10:30:00-02:00,6.4875
82,2019-01-09T11:00:00-02:00,6495
83,2019-01-09T11:30:00-02:00,6.4425
84,2019-01-09T12:00:00-02:00,6455
85,2019-01-09T12:30:00-02:00,6475
86,2019-01-09T13:00:00-02:00,6.4725
87,2019-01-09T13:30:00-02:00,6475
88,2019-01-09T14:00:00-02:00,6.4675
89,2019-01-09T14:30:00-02:00,6.47
90,2019-01-09T15:00:00-02:00,6465
91,2019-01-09T15:30:00-02:00,6.46
92,2019-01-09T16:00:00-02:00,6.4675
93,2019-01-09T16:30:00-02:00,6.49
94,2019-01-09T17:00:00-02:00,6.4875
95,2019-01-09T17:30:00-02:00,6.54
96,2019-01-10T10:00:00-02:00,6.5475
97,2019-01-10T10:30:00-02:00,6.5
98,2019-01-10T11:00:00-02:00,6495
99,2019-01-10T11:30:00-02:00,6.4975
100,2019-01-10T12:00:00-02:00,6.5
101,2019-01-10T12:30:00-02:00,6.4975
102,2019-01-10T13:00:00-02:00,6.5025
103,2019-01-10T13:30:00-02:00,6.5025
104,2019-01-10T14:00:00-02:00,6.5
105,2019-01-10T14:30:00-02:00,6495
106,2019-01-10T15:00:00-02:00,6505
107,2019-01-10T15:30:00-02:00,6.53
108,2019-01-10T16:00:00-02:00,6.4975
109,2019-01-10T16:30:00-02:00,6.51
110,2019-01-10T17:00:00-02:00,6.5125
111,2019-01-10T17:30:00-02:00,6.5025
112,2019-01-11T10:00:00-02:00,6.5025
113,2019-01-11T10:30:00-02:00,6.5
114,2019-01-11T11:00:00-02:00,6.4925
115,2019-01-11T11:30:00-02:00,6.4875
116,2019-01-11T12:00:00-02:00,6.48
117,2019-01-11T12:30:00-02:00,6475
118,2019-01-11T13:00:00-02:00,6.4775
119,2019-01-11T13:30:00-02:00,6.44
120,2019-01-11T14:00:00-02:00,6.44
121,2019-01-11T14:30:00-02:00,6.4275
122,2019-01-11T15:00:00-02:00,6.4325
123,2019-01-11T15:30:00-02:00,6.45
124,2019-01-11T16:00:00-02:00,6.4275
125,2019-01-11T16:30:00-02:00,6.4125
126,2019-01-11T17:00:00-02:00,6.4725
127,2019-01-11T17:30:00-02:00,6.4425
128,2019-01-14T10:00:00-02:00,6485
129,2019-01-14T10:30:00-02:00,6.46
130,2019-01-14T11:00:00-02:00,6.4475
131,2019-01-14T11:30:00-02:00,6.4175
132,2019-01-14T12:00:00-02:00,6415
133,2019-01-14T12:30:00-02:00,6435
134,2019-01-14T13:00:00-02:00,6435
135,2019-01-14T13:30:00-02:00,6455
136,2019-01-14T14:00:00-02:00,6.44
137,2019-01-14T14:30:00-02:00,6.4625
138,2019-01-14T15:00:00-02:00,6.4675
139,2019-01-14T15:30:00-02:00,6.4725
140,2019-01-14T16:00:00-02:00,6.4725
141,2019-01-14T16:30:00-02:00,6.4525
142,2019-01-14T17:00:00-02:00,6.4225
143,2019-01-14T17:30:00-02:00,6.42
144,2019-01-15T10:00:00-02:00,6.3675
145,2019-01-15T10:30:00-02:00,6395
146,2019-01-15T11:00:00-02:00,6.4075
